date,nav,daily_pnl,position,pos_size_bbl,roll_cost,action,crack,z_score
2024-02-23,1676373.98,0.0,0,0,0.0,hold,24.9134,-1.2902
2024-02-26,1676373.98,0.0,0,0,0.0,hold,25.6546,-0.9671
2024-02-27,1676373.98,0.0,0,0,0.0,hold,25.2172,-1.1819
2024-02-28,1676373.98,0.0,0,0,0.0,hold,22.2642,-2.3827
2024-02-29,1675743.98,0.0,1,12000,0.0,enter,23.8336,-1.5706
2024-03-01,1762604.74,87100.77,1,12000,240.0,hold,31.092,1.4812
2024-03-04,1757515.64,-4459.1,0,0,0.0,exit,30.7204,1.1502
2024-03-05,1757515.64,0.0,0,0,0.0,hold,29.2594,0.4953
2024-03-06,1757515.64,0.0,0,0,0.0,hold,29.6654,0.6048
2024-03-07,1757515.64,0.0,0,0,0.0,hold,30.3302,0.7959
2024-03-08,1757515.64,0.0,0,0,0.0,hold,29.7242,0.4949
2024-03-11,1757515.64,0.0,0,0,0.0,hold,31.4492,1.0445
2024-03-12,1757515.64,0.0,0,0,0.0,hold,31.4902,0.972
2024-03-13,1757515.64,0.0,0,0,0.0,hold,32.3934,1.2064
2024-03-14,1757515.64,0.0,0,0,0.0,hold,32.3556,1.0865
2024-03-15,1757515.64,0.0,0,0,0.0,hold,33.3204,1.3205
2024-03-18,1757515.64,0.0,0,0,0.0,hold,33.5192,1.2173
2024-03-19,1757515.64,0.0,0,0,0.0,hold,32.5214,0.7998
2024-03-20,1757515.64,0.0,0,0,0.0,hold,32.5894,0.7622
2024-03-21,1757515.64,0.0,0,0,0.0,hold,32.652,0.7478
2024-03-22,1757515.64,0.0,0,0,0.0,hold,33.232,0.9186
2024-03-25,1757515.64,0.0,0,0,0.0,hold,32.5056,0.6039
2024-03-26,1757515.64,0.0,0,0,0.0,hold,30.702,-0.022
2024-03-27,1757515.64,0.0,0,0,0.0,hold,30.202,-0.1959
2024-03-28,1757515.64,0.0,0,0,0.0,hold,30.7592,-0.0219
2024-04-01,1757515.64,0.0,0,0,0.0,hold,28.9494,-0.7646
2024-04-02,1757515.64,0.0,0,0,0.0,hold,30.0658,-0.408
2024-04-03,1757515.64,0.0,0,0,0.0,hold,30.1288,-0.4644
2024-04-04,1757515.64,0.0,0,0,0.0,hold,30.0258,-0.586
